city,salary_men,salary_women,population
Saint-Savinien,10.4,10.1,2325
Sainte-Soulle,14.3,12.0,4022
Saint-Sulpice-de-Royan,13.2,10.7,2945
Saint-Xandre,15.3,12.2,4341
Saintes,13.2,11.5,23895
Salles-sur-Mer,16.7,12.5,2022
Saujon,12.0,10.7,6905
Semussac,12.0,10.3,2280
Soubise,13.5,10.8,1812
Surgères,12.7,10.9,6387
Tonnay-Charente,12.6,10.6,7692
La Tremblade,12.4,10.6,4671
Vaux-sur-Mer,15.3,11.8,3720
Vérines,13.6,11.5,2196
Argent-sur-Sauldre,12.8,10.8,2075
Aubigny-sur-Nère,12.9,10.7,5332
Avord,11.4,10.4,2280
Bourges,14.0,11.6,63503
La Chapelle-Saint-Ursin,14.4,11.8,3330
Châteaumeillant,12.1,10.2,1860
Dun-sur-Auron,13.0,11.2,3706
Foëcy,12.6,10.6,1989
Fussy,14.9,12.1,1932
La Guerche-sur-l'Aubois,13.2,10.8,3238
Marmagne,14.9,12.2,3384
Mehun-sur-Yèvre,13.6,11.2,6536
Méreau,14.0,11.5,2585
Saint-Amand-Montrond,11.4,10.0,9436
Saint-Doulchard,15.9,12.3,8985
Saint-Florent-sur-Cher,12.8,11.2,6414
Saint-Germain-du-Puy,12.9,10.8,4951
Saint-Martin-d'Auxigny,13.5,11.3,2276
Sancoins,11.5,10.1,2939
Trouy,15.1,12.4,3811
Vierzon,12.2,10.4,26049
Vignoux-sur-Barangeon,13.9,11.1,2033
Allassac,12.9,11.2,3686
Argentat,12.5,10.7,2843
Bort-les-Orgues,11.6,10.0,2431
Brive-la-Gaillarde,13.5,11.2,45485
Cosnac,15.4,12.1,2818
Donzenac,14.0,11.7,2475
Égletons,12.1,10.7,3598
Lubersac,12.4,11.0,2113
Meymac,12.3,10.8,2195
Naves,14.1,12.1,2911
Objat,13.4,10.9,3426
Saint-Pantaléon-de-Larche,14.0,11.5,4682
Tulle,12.4,10.9,13068
Ussac,15.9,12.7,3991
Ussel,12.3,10.8,9929
Uzerche,12.1,11.4,2156
Varetz,13.6,11.5,2221
Arc-sur-Tille,17.2,13.1,2472
Auxonne,12.5,10.7,7140
Beaune,14.4,11.6,20863
Brazey-en-Plaine,13.2,11.3,2406
Châtillon-sur-Seine,12.3,10.4,4766
Chenôve,12.2,10.7,13968
Chevigny-Saint-Sauveur,13.8,11.8,10790
Dijon,14.3,12.2,146510
Fontaine-lès-Dijon,19.3,14.2,8659
Genlis,13.2,11.2,5295
Gevrey-Chambertin,14.1,11.8,2924
Is-sur-Tille,14.2,11.5,4320
Longvic,12.8,11.1,8752
Marsannay-la-Côte,14.8,12.3,5198
Mirebeau-sur-Bèze,13.3,11.3,1931
Montbard,12.6,10.3,5074
Nuits-Saint-Georges,14.2,11.2,5372
Plombières-lès-Dijon,13.8,11.7,2540
Quetigny,13.4,11.6,9300
Saint-Apollinaire,15.5,12.8,7267
Saulieu,11.9,10.1,2298
Selongey,13.8,11.9,2349
Semur-en-Auxois,13.5,10.8,3744
Sennecey-lès-Dijon,15.0,12.4,2121
Seurre,12.4,10.4,2254
Talant,16.5,12.7,11019
Varois-et-Chaignot,20.2,14.9,1930
Venarey-les-Laumes,12.5,10.4,2890
Bégard,12.1,10.8,4460
Binic,16.3,12.6,3677
Bourbriac,12.2,10.7,2266
Broons,12.5,10.8,2620
Callac,12.3,10.3,1998
Caulnes,11.9,10.4,2255
Corseul,12.7,10.7,2184
Dinan,13.5,11.2,10109
Erquy,14.2,10.9,3804
Étables-sur-Mer,14.8,11.6,2969
Grâces,13.6,11.3,2395
Guingamp,12.4,10.5,6733
Hénon,12.2,10.9,2061
Hillion,14.2,11.4,3969
Lamballe,13.3,11.3,12863
Langueux,14.1,11.8,7165
Lannion,15.5,12.0,18863
Lanvallay,14.5,11.5,3816
Léhon,17.0,12.8,2927
Louannec,18.7,12.9,3007
Louargat,12.4,10.6,2322
Loudéac,12.3,10.6,8988
Merdrignac,11.9,10.5,2723
La Motte,12.1,11.2,4949
Mûr-de-Bretagne,12.4,10.7,1982
Pabu,13.3,11.2,2434
Paimpol,13.0,10.8,6748
Penvénan,14.9,11.0,2563
Perros-Guirec,16.5,12.5,7145
Plaintel,13.2,11.2,4132
Plancoët,11.5,10.2,2905
Planguenoual,14.2,11.1,2085
Plédran,12.6,11.2,6472
Plélo,12.3,11.2,3317
Plénée-Jugon,11.9,10.8,2249
